"Langue";"Unité";"Thème";"Mot / expression (à valider)";"Français";"Type";"Emprunt";"Mot amazigh classique";"Origine (dictionnaire)";"Fichier audio à enregistrer";"Leçons";"Correction proposée";"OK ?"
"Kabyle";"Unité 6";"Les couleurs — Initen";"Aberkan";"Noir";"mot";"";"";"amazigh";"aberkan.mp3";"l22 l23";"";""
"Kabyle";"Unité 11";"Le corps & les gens";"Aḍar";"Pied / Le pied";"mot";"";"";"amazigh";"adar.mp3";"l36 l38 l51";"";""
"Kabyle";"Unité 15";"Au sport — Addal";"Addal";"Le sport";"mot";"";"";"neo";"addal.mp3";"l50 l53";"";""
"Kabyle";"Unité 8";"La météo — Tignewt";"Adfel";"Neige";"mot";"";"";"amazigh";"adfel.mp3";"l28 l29 l35";"";""
"Kabyle";"Unité 3";"À la maison — Axxam";"Adlis";"Livre";"mot";"";"";"neo";"adlis.mp3";"l13";"";""
"Kabyle";"Unité 8";"La météo — Tignewt";"Aḍu";"Vent";"mot";"";"";"amazigh";"adu.mp3";"l28 l29";"";""
"Kabyle";"Unité 14";"Au travail — Axeddim";"Afellaḥ";"Le paysan";"mot";"arabe";"Amekraz";"arabe";"afellah.mp3";"l47 l49";"";""
"Kabyle";"Unité 11";"Le corps & les gens";"Afus";"Main";"mot";"";"";"amazigh";"afus.mp3";"l36 l38 l45";"";""
"Kabyle";"Unité 8";"La météo — Tignewt";"Ageffur";"Pluie";"mot";"";"";"amazigh";"ageffur.mp3";"l27 l29";"";""
"Kabyle";"Unité 3";"À la maison — Axxam";"Aɣrum";"Pain";"mot";"";"";"amazigh";"aghrum.mp3";"l11";"";""
"Kabyle";"Unité 1";"Les salutations — Azul !";"Ala";"Non";"mot";"";"";"amazigh";"ala.mp3";"l2 l3 l5 l6 l9";"";""
"Kabyle";"Unité 3";"À la maison — Axxam";"Aman";"Eau";"mot";"";"";"amazigh";"aman.mp3";"l11 l17";"";""
"Kabyle";"Unité 3";"À la maison — Axxam";"Amcic";"Chat";"mot";"";"";"amazigh";"amcic.mp3";"l13 l17";"";""
"Kabyle";"Unité 14";"Au travail — Axeddim";"Amejjay";"Le médecin";"mot";"";"";"neo";"amejjay.mp3";"l47";"";""
"Kabyle";"Unité 14";"Au travail — Axeddim";"Amekraz";"Le laboureur";"mot";"";"";"amazigh";"amekraz.mp3";"l47";"";""
